REF,DOMN,INV,MUSEO,STAT,DENO,APPL,TITR,AUTR,ROLE,PAUT,GENRE,ECOL,ATTR,PERI,MILL,EPOQ,MILU,PEOC,GENE,HIST,LIEUX,PLIEUX,GEOHI,LOCA_PROV,PERU,DECV,PDEC,UTIL,PUTI,TECH,DIMS,INSC,PINS,ONOM,DESC,REPR,PREP,DREP,SREP,DACQ,APTN,DEPO,DDPT,ADPT,DATION,MANQUANT,MANQUANT_COM,COMM,EXPO,BIBL,DMIS,DMOIS,DMAJ,REDA,PHOT,DATA,LOCA3,IA,REFPAL,REFMEM,REFMER,REGION,DPT,VILLE_M,NOMOFF,LOCA,custom_LOCA
Référence de la notice,Domaine,Numéro d'inventaire,Lien Muséofile,Statut juridique,Dénomination,Appellation,Titre,Auteur,Rôle,Précisions sur l'auteur,Genre du ou des auteurs,École (pays),Anciennes attributions,Période de création,Millésime de création,Époque,Millésime d'utilisation,Période de l'original copié,Genèse,Historique,Lieu de création / utilisation,"Précisions sur le lieu de création, d'exécution ou d'utilisation",Lieu historique,Provenance du bien,Période d'utilisation,Découverte / collecte,Précisions sur la découverte ou la collecte,Utilisation / destination,Précisions sur l'utilisation,Matériaux et techniques,Mesures,Inscriptions,Précisions sur les inscriptions,Onomastique,Description,Sujet représenté,Précisions sur le sujet représenté,Date du sujet représenté,Source de la représentation,Date d'acquisition,Anciennes appartenances,Lieu de dépôt,Date de dépôt,Ancien dépôt,Dation,Situation particulière,Précisions sur une situation particulière,Commentaires,Exposition,Bibliographie,Date de création,Date de moissonnage de la notice,Date de mise à jour,Rédacteur de la notice,Crédits photographiques,Artiste sous droits,Année d'entrée dans le domaine public,Droits de reproduction et de représentation,Références Palissy liées,Références Mémoire liées,Références Mérimée liées,Région,Département,Ville,Nom du musée,Localisation,Lieu de conservation
M1104320171861,photographie ; arts graphiques,PH27600,M1104,,photographie (dénomination),,"Cloître de la chapelle Notre-Dame-de-Consolation, 23 rue Jean Goujon, 8ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.7 cm ; Largeur 16.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171862,photographie ; arts graphiques,PH27601,M1104,,photographie (dénomination),,"Cloître, chapelle Notre-Dame-de-Consolation, 23 rue Jean Goujon, 8ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 23.2 cm ; Largeur 16.7 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171900,photographie ; arts graphiques,PH33331,M1104,,photographie (dénomination),,"Chevet de la cathédrale Notre-Dame [et le Pont de l'Archevêché, pris du quai des Tournelles ], 4ème arrondissement, Paris.",Grellet Henri (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 16.6 cm ; Largeur 11.9 cm ; Hauteur 32.3 cm ; Largeur 24.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320171973,photographie ; arts graphiques,PH33729,M1104,,photographie (dénomination),,"Congrégation Notre-Dame, couvent des Augustines. Intérieur de la coupole de la chapelle. mars 1883. 5ème arrondissement, Paris.",Emonts ou Emonds Pierre (1831-1912),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,,Hauteur 27.4 cm ; Largeur 23.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320172588,photographie ; arts graphiques,PH29440,M1104,,photographie (dénomination),,"Eglise Notre-Dame-de-Lorette, intérieur de la nef, 18 bis rue de Chateaudun, 9ème arrondissement, Paris. 4 octobre 1919.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,En 1919,,,,,,,,,,,,,,,,Hauteur 23.1 cm ; Largeur 17.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320172757,photographie ; arts graphiques,PH37150,M1104,,photographie (dénomination),,"Façade de l’église Notre-Dame de Clignancourt, rue du Mont-Cenis, 18ème arrondissement, Paris. Après 1863.",Delmaet & Durandelle (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 21.7 cm ; Largeur 29 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,Paris Musées / Musée Carnavalet - Histoire de Paris. Photo Philippe Ladet,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320172758,photographie ; arts graphiques,PH29441,M1104,,photographie (dénomination),,"Façade de l’église Notre-Dame-de-Lorette, 18 bis rue de Chateaudun, 9ème arrondissement, Paris. 23 septembre 1919.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,En 1919,,,,,,,,,,,,,,,,Hauteur 17.1 cm ; Largeur 23.1 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320172766,photographie ; arts graphiques,PH27598,M1104,,photographie (dénomination),,"Façade de la chapelle Notre-Dame-de-Consolation, 23 rue Jean Goujon, 8ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.3 cm ; Largeur 16.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320172794,photographie ; arts graphiques,PH30172,M1104,,photographie (dénomination),,"Façade nord de Notre-Dame sous la neige, 4ème arrondissement, Paris, 24 février 1917.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,En 1917,,,,,,,,,,,,,,,,Hauteur 23 cm ; Largeur 17.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173149,photographie ; arts graphiques,PH36043,M1104,,photographie (dénomination),,"Façade sur rue, église Notre-Dame-d'Auteuil, place d'Auteuil, 16ème arrondissement, Paris.",Desprez E. (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 23.3 cm ; Largeur 17.1 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet – Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173329,photographie ; arts graphiques,PH30232,M1104,,photographie (dénomination),,"Façades sur rue, église flamande Notre-Dame-du-Perpétuel-Secours, passage René-Villermé, vue prise du n°15 du passage, 11ème arrondissement, Paris. 10 septembre 1920.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,En 1920,,,,,,,,,,,,,,,,Hauteur 22.6 cm ; Largeur 17.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173776,photographie ; arts graphiques,PH34202,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris de loin vu du toit de l'église Saint-Julien-le-Pauvre. 5ème arrondissement, Paris.",anonyme (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 12.3 cm ; Largeur 17.2 cm ; Hauteur 13 cm ; Largeur 17.9 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173777,photographie ; arts graphiques,PH20437,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris et le pont de l'Archevêché, la flèche de Notre-Dame en construction vers 1860 (échafaudages), 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,Vers 1860,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 7.3 cm ; Largeur 7.2 cm ; Hauteur 15.7 cm ; Largeur 14.1 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173779,photographie ; arts graphiques,PH20438,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris et le pont Saint-Michel, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 6.7 cm ; Largeur 6.9 cm ; Hauteur 28.2 cm ; Largeur 42.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173781,photographie ; arts graphiques,PH20440,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris, construction du pont Saint-Michel, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 7 cm ; Largeur 7.4 cm ; Hauteur 28.2 cm ; Largeur 42.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173783,photographie ; arts graphiques,PH20435,M1104,,photographie (dénomination),,"Façade occidentale, cathédrale Notre-Dame de Paris, hôpital des Enfants-Trouvés à gauche, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,Vers 1865,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 7.8 cm ; Largeur 5.8 cm ; Hauteur 10.6 cm ; Largeur 6.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173784,photographie ; arts graphiques,PH20436,M1104,don manuel,photographie (dénomination),,"La cathédrale Notre-Dame de Paris, façade occidentale, hôpital des Enfants-Trouvés et rue Neuve-Notre-Dame (avant les travaux d'Haussmann), 4ème arrondissement, Paris.",Bisson Frères (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 35.5 cm ; Largeur 24.9 cm,,,,,,,,,1996,"Coursaget, Pierre",,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173785,photographie ; arts graphiques,PH20442,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris, vue prise du haut de la tour sud, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 7.7 cm ; Largeur 7 cm ; Hauteur 28.2 cm ; Largeur 42.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173786,photographie ; arts graphiques,PH20441,M1104,,photographie (dénomination),,"La cathédrale Notre-Dame de Paris, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 6.6 cm ; Largeur 6.9 cm ; Hauteur 28.2 cm ; Largeur 42.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320173810,photographie ; arts graphiques,PH24929,M1104,,photographie (dénomination),,"La nef vers l’autel, église Notre-Dame d'Auteuil, place d'Auteuil, 16ème arrondissement, Paris.",Desprez E. (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 23.4 cm ; Largeur 17 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;CC0 Paris Musées / Musée Carnavalet, Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174191,photographie ; arts graphiques,PH26501,M1104,,photographie (dénomination),,"Notre-Dame de Paris , statues des saints, ébrasement du portail central, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 20.9 cm ; Largeur 26.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris;CC0 Paris Musées / Musée Carnavalet - Histoire de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174192,photographie ; arts graphiques,PH33310,M1104,,photographie (dénomination),,"Notre-Dame de Paris, façade occidentale, hôpital des Enfants-Trouvés à gauche et (ancienne) rue Neuve-Notre-Dame avant les travaux d'Haussmann, 4ème arrondissement, Paris.",Plaut Charles Henri (1819-1894),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 17.1 cm ; Largeur 12.5 cm ; Hauteur 28.9 cm ; Largeur 23 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174193,photographie ; arts graphiques,PH33312,M1104,,photographie (dénomination),,"Statue de Charlemagne par Louis Rocher, parvis de Notre-Dame, 4ème arrondissement, Paris.","Petit Pierre (Pierre Lanith Petit, dit) (1831-1909)",,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 8.9 cm ; Largeur 5.5 cm ; Hauteur 10.4 cm ; Largeur 6.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174311,photographie ; arts graphiques,PH27868,M1104,,photographie (dénomination),,"Pièce d'eau avec ruines de la Chapelle Saint-Denis : la Naumachie (bassin ovale bordé d'une colonnade corinthienne provenant de Notre-Dame de la Rotonde à Saint-Denis), parc Monceau, boulevard de Courcelles, 8ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 17.1 cm ; Largeur 23.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,Paris Musées / Musée Carnavalet - Histoire de Paris. Photo Philippe Ladet,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174445,photographie ; arts graphiques,PH33356,M1104,,photographie (dénomination),,"Pont de Corse et Notre-Dame, 4ème arrondissement, Paris.",anonyme (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 8.9 cm ; Largeur 5.7 cm ; Hauteur 15.1 cm ; Largeur 11.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174449,photographie ; arts graphiques,PH33746,M1104,,photographie (dénomination),,"Pont de la Tournelle en 1934. Notre-Dame, port et quai de la Tournelle. 5ème arrondissement, Paris.",Direction Générale des Travaux de Paris et du Département de la Seine (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 16.2 cm ; Largeur 21.9 cm ; Hauteur 16.8 cm ; Largeur 22.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174637,photographie ; arts graphiques,PH32464,M1104,,photographie (dénomination),,"Reproduction d'une peinture de l'église Notre-Dame-des-Victoires de Carl Van Loo : ""Transport des reliques de Saint-Augustin. 2ème arrondissement, Paris.",anonyme (-),,,,,,,,,,,,,,,,,,,,,,,Hauteur 30.6 cm ; Largeur 27.1 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174819,photographie ; arts graphiques,PH27958,M1104,,photographie (dénomination),,"Rue Laferrière avec vue des rues Notre-Dame-de-Lorette et Monnier. 16 janvier 1920. 9ème arrondissement, Paris.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.4 cm ; Largeur 17.4 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320174864,photographie ; arts graphiques,PH30177,M1104,,photographie (dénomination),,"Rue Saint-Julien-le-Pauvre (vue de Notre-Dame). 5ème arrondissement, Paris. 2 mai 1917.",Lansiaux Charles Joseph Antoine (1855-1939),,,,,,,,,,,,,,,,,,,,,,,Hauteur 22.7 cm ; Largeur 17.3 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,"Rémi Briant,Carnavalet,Ville de Paris",,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175126,photographie ; arts graphiques,PH34213,M1104,,photographie (dénomination),,"Vue du pont Saint-Michel et de Notre-Dame avant l'intervention d'Haussmann (cf. ancien Hôtel-Dieu), 1er arrondissement, Paris.",Dubreuil (19e siècle) (-),,,,,,2e moitié du 19e siècle,,,,,,,,,,,,,,,,Tirage sur papier albuminé,Hauteur 15.2 cm ; Largeur 12.6 cm ; Hauteur 27 cm ; Largeur 21 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,Paris Musées / Musée Carnavalet - Histoire de Paris. Photo Philippe Ladet,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175198,estampe ; arts graphiques,G.41150,M1104,,estampe,,"Procession de la ligue sortant de l'église Notre-Dame de Paris.; Epoque d'Henri IV, de 1590 à 27 mai 1610",Petit Louis Jacques (1760-1812) ; Ponce Nicolas (1746-1831) ; Brueghel Jan (dit Brueghel de Velours ou l'Ancien) (1568-1625),,,,,,18e siècle,En 1788,,,,,,,,,,,,,,,Eau-forte,Hauteur 17.8 cm ; Largeur 19.7 cm ; Hauteur 32.7 cm ; Largeur 49.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175199,estampe ; arts graphiques,G.41151,M1104,,estampe,,"Procession de la ligue sortant de l'église Notre-Dame de Paris; Epoque d'Henri IV, de 1590 à 27 mai 1610",Petit Louis Jacques (1760-1812) ; Ponce Nicolas (1746-1831) ; Brueghel Jan (dit Brueghel de Velours ou l'Ancien) (1568-1625),,,,,,18e siècle,En 1788,,,,,,,,,,,,,,,Eau-forte,Hauteur 21.6 cm ; Largeur 26.5 cm ; Hauteur 32.8 cm ; Largeur 48.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175290,estampe ; arts graphiques,CP714,M1104,mode d'acquisition inconnu,carte postale,,"1896 PARIS. - Sur le petit bras de la Seine : Travaux du Chemin de Fer METROPOLITAIN.; Travaux du Chemin de Fer métropolitain, près de Notre-Dame, 4ème arrondissement, Paris.",Neurdein Frères (-) ; anonyme (-),,,,,,,Vers 1906,,,,,,,,,,,,,,,Procédé photomécanique,Hauteur 9 cm ; Largeur 13.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet – Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175432,estampe ; arts graphiques,G.41173,M1104,,illustration de périodique,,"Henri IV se rendant à Notre-Dame (1594).; Epoque d'Henri IV, de 1590 à 27 mai 1610",anonyme (-),,,,,,,,,,,,,,,,,,,,,,Gravure sur bois,Hauteur 15.7 cm ; Largeur 24 cm ; Hauteur 32.8 cm ; Largeur 50.6 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;CC0 Paris Musées / Musée Carnavalet – Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320175982,estampe ; arts graphiques,G.43052,M1104,,estampe,,Obsèques de la reine Marie-Thérèse à Notre-Dame [gravure principale]; Mariae Theresiae Austriacae Uxori Carissimae / [...] / MDCLXXXIII [vignette]; De 1680 à 1699. Généralités. Funérailles du Chancelier Boucherat (11 décembre 1699).,Marot Daniel (1663-1752) ; Bérain Jean I (dit le Vieux) (1638-1711) ; anonyme (-),,,,,,17e siècle,Après 1683,,,,,,,,,,,,,,,Gravure,Hauteur 42 cm ; Largeur 27.7 cm ; Hauteur 49.8 cm ; Largeur 32.5 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320176034,dessin ; arts graphiques,D.9263,M1104,,dessin,,"Monument funéraire de l'abbé La Grange, chapelle Sainte-Catherine, cathédrale Notre-Dame-de-Paris.",anonyme (-),,,,,,,,,,,,,,,,,,,,,,Mine de plomb ; Sanguine ; Plume (arts graphiques) ; Encre noire ; Lavis de sanguine ; Papier,Hauteur 16.5 cm ; Largeur 11 cm ; Hauteur 26.8 cm ; Largeur 19.2 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
M1104320176559,photographie ; arts graphiques,PH58173,M1104,mode d'acquisition inconnu,photographie (dénomination),,"Mesures de protection contre le bombarbement, cathédrale Notre-Dame, 4ème arrondissement, Paris, 1918.; Mesures de protection contre le bombarbement (1918)",anonyme (-),,,,,,,En 1918,,,,,,,,,,,,,,,,Hauteur 16.9 cm ; Largeur 22.8 cm,,,,,,,,,,,,,,,,,,,,2025-12-12,2025-12-12,,,CC0 Paris Musées / Musée Carnavalet - Histoire de Paris;CC0 Paris Musées / Musée Carnavalet – Histoire de Paris,,,,,,,Île-de-France,Paris,Paris,musée Carnavalet - histoire de Paris,"Musée Carnavalet, Histoire de Paris",Paris ; musée Carnavalet - histoire de Paris
